,datum,tage,lebenszahl,paarsumme
429088,22.10.1175,429088,1,168
429118,21.11.1175,429118,1,168
429147,20.12.1175,429147,1,168
429188,30.01.1176,429188,1,168
429218,29.02.1176,429218,1,168
429246,28.03.1176,429246,1,168
429276,27.04.1176,429276,1,168
429305,26.05.1176,429305,1,168
429335,25.06.1176,429335,1,168
429364,24.07.1176,429364,1,168
429394,23.08.1176,429394,1,168
429424,22.09.1176,429424,1,168
429453,21.10.1176,429453,1,168
429483,20.11.1176,429483,1,168
429512,19.12.1176,429512,1,168
429553,29.01.1177,429553,1,168
429583,28.02.1177,429583,1,168
429610,27.03.1177,429610,1,168
429640,26.04.1177,429640,1,168
429669,25.05.1177,429669,1,168
429699,24.06.1177,429699,1,168
429728,23.07.1177,429728,1,168
429758,22.08.1177,429758,1,168
429788,21.09.1177,429788,1,168
429817,20.10.1177,429817,1,168
429847,19.11.1177,429847,1,168
429876,18.12.1177,429876,1,168
461300,31.12.1263,461300,1,168
461665,30.12.1264,461665,1,168
461970,31.10.1265,461970,1,168
462000,30.11.1265,462000,1,168
462029,29.12.1265,462029,1,168
462334,30.10.1266,462334,1,168
462364,29.11.1266,462364,1,168
462393,28.12.1266,462393,1,168
462639,31.08.1267,462639,1,168
462669,30.09.1267,462669,1,168
462698,29.10.1267,462698,1,168
462728,28.11.1267,462728,1,168
462757,27.12.1267,462757,1,168
462974,31.07.1268,462974,1,168
463004,30.08.1268,463004,1,168
463034,29.09.1268,463034,1,168
463063,28.10.1268,463063,1,168
463093,27.11.1268,463093,1,168
463122,26.12.1268,463122,1,168
463338,30.07.1269,463338,1,168
463368,29.08.1269,463368,1,168
463398,28.09.1269,463398,1,168
463427,27.10.1269,463427,1,168
463457,26.11.1269,463457,1,168
463486,25.12.1269,463486,1,168
463643,31.05.1270,463643,1,168
463673,30.06.1270,463673,1,168
463702,29.07.1270,463702,1,168
463732,28.08.1270,463732,1,168
463762,27.09.1270,463762,1,168
463791,26.10.1270,463791,1,168
463821,25.11.1270,463821,1,168
